,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0097524,GO:0005886
2,GO:0120001,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0042383,GO:0005886
5,GO:0097524,GO:0005886
6,GO:0120001,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0042383,GO:0005886
9,GO:0009506,GO:0005911
10,GO:0009550,GO:0009506
11,GO:0009551,GO:0009506
12,GO:0009550,GO:0009506
13,GO:0009551,GO:0009506
14,GO:0008519,GO:0022890
15,GO:0008519,GO:0015267
16,GO:0015400,GO:0008519
17,GO:0015398,GO:0008519
18,GO:0015400,GO:0008519
19,GO:0015398,GO:0008519
20,GO:0015398,GO:0008519
21,GO:0015398,GO:0015291
22,GO:0072488,GO:0098662
23,GO:0072488,GO:0071705
24,GO:0140157,GO:0072488
25,GO:0140157,GO:0072488
