,go_id,parent_id
0,GO:0000325,GO:0005773
1,GO:0010282,GO:0000325
2,GO:0042807,GO:0000325
3,GO:0000326,GO:0000325
4,GO:0010282,GO:0000325
5,GO:0042807,GO:0000325
6,GO:0000326,GO:0000325
7,GO:0005886,GO:0016020
8,GO:0120001,GO:0005886
9,GO:0042383,GO:0005886
10,GO:0097524,GO:0005886
11,GO:0001533,GO:0005886
12,GO:0120001,GO:0005886
13,GO:0042383,GO:0005886
14,GO:0097524,GO:0005886
15,GO:0001533,GO:0005886
16,GO:0009536,GO:0043231
17,GO:0034400,GO:0009536
18,GO:0062116,GO:0009536
19,GO:0009516,GO:0009536
20,GO:0009507,GO:0009536
21,GO:0009509,GO:0009536
22,GO:0009501,GO:0009536
23,GO:0009513,GO:0009536
24,GO:0020011,GO:0009536
25,GO:0009842,GO:0009536
26,GO:0009537,GO:0009536
27,GO:0034400,GO:0009536
28,GO:0062116,GO:0009536
29,GO:0009516,GO:0009536
30,GO:0009507,GO:0009536
31,GO:0009509,GO:0009536
32,GO:0009501,GO:0009536
33,GO:0009513,GO:0009536
34,GO:0020011,GO:0009536
35,GO:0009842,GO:0009536
36,GO:0009537,GO:0009536
37,GO:0098552,GO:0110165
38,GO:0031241,GO:0098552
39,GO:0009897,GO:0098552
40,GO:0098569,GO:0098552
41,GO:0098570,GO:0098552
42,GO:0098571,GO:0098552
43,GO:0031240,GO:0098552
44,GO:0098572,GO:0098552
45,GO:0098562,GO:0098552
46,GO:0098576,GO:0098552
47,GO:0031241,GO:0098552
48,GO:0009897,GO:0098552
49,GO:0098569,GO:0098552
50,GO:0098570,GO:0098552
51,GO:0098571,GO:0098552
52,GO:0031240,GO:0098552
53,GO:0098572,GO:0098552
54,GO:0098562,GO:0098552
55,GO:0098576,GO:0098552
56,GO:0009055,GO:0003674
57,GO:0008137,GO:0009055
58,GO:0046028,GO:0009055
59,GO:0008121,GO:0009055
60,GO:0045157,GO:0009055
61,GO:0045156,GO:0009055
62,GO:0045158,GO:0009055
63,GO:0009486,GO:0009055
64,GO:0004174,GO:0009055
65,GO:0004129,GO:0009055
66,GO:0009496,GO:0009055
67,GO:0008137,GO:0009055
68,GO:0046028,GO:0009055
69,GO:0008121,GO:0009055
70,GO:0045157,GO:0009055
71,GO:0045156,GO:0009055
72,GO:0045158,GO:0009055
73,GO:0009486,GO:0009055
74,GO:0004174,GO:0009055
75,GO:0004129,GO:0009055
76,GO:0009496,GO:0009055
77,GO:0046872,GO:0043169
78,GO:0046914,GO:0046872
79,GO:0000287,GO:0046872
80,GO:0005509,GO:0046872
81,GO:0031420,GO:0046872
82,GO:0046911,GO:0046872
83,GO:0032791,GO:0046872
84,GO:0046914,GO:0046872
85,GO:0000287,GO:0046872
86,GO:0005509,GO:0046872
87,GO:0031420,GO:0046872
88,GO:0046911,GO:0046872
89,GO:0032791,GO:0046872
90,GO:0015690,GO:0030001
91,GO:0070417,GO:0033554
92,GO:0070417,GO:0009409
93,GO:0070415,GO:0070417
94,GO:0071497,GO:0070417
95,GO:0070415,GO:0070417
96,GO:0071497,GO:0070417
97,GO:0071456,GO:0036294
98,GO:0071456,GO:0033554
99,GO:0071456,GO:0001666
100,GO:1901141,GO:1900376
101,GO:1901141,GO:0031326
102,GO:1901141,GO:2000762
103,GO:1901428,GO:1901141
104,GO:1901428,GO:1901141
105,GO:0009646,GO:0009642
106,GO:0071485,GO:0009646
107,GO:0009647,GO:0009646
108,GO:0071485,GO:0009646
109,GO:0009647,GO:0009646
110,GO:0002239,GO:0051707
111,GO:0002231,GO:0002239
112,GO:0002229,GO:0002239
113,GO:0002231,GO:0002239
114,GO:0002229,GO:0002239
115,GO:0006979,GO:0006950
116,GO:0034599,GO:0006979
117,GO:0080183,GO:0006979
118,GO:0070994,GO:0006979
119,GO:0033194,GO:0006979
120,GO:0000302,GO:0006979
121,GO:0034599,GO:0006979
122,GO:0080183,GO:0006979
123,GO:0070994,GO:0006979
124,GO:0033194,GO:0006979
125,GO:0000302,GO:0006979
