,go_id,parent_id
0,GO:0005737,GO:0110165
1,GO:0099568,GO:0005737
2,GO:1990917,GO:0005737
3,GO:0005938,GO:0005737
4,GO:0016528,GO:0005737
5,GO:0045495,GO:0005737
6,GO:0099568,GO:0005737
7,GO:1990917,GO:0005737
8,GO:0005938,GO:0005737
9,GO:0016528,GO:0005737
10,GO:0045495,GO:0005737
11,GO:0005829,GO:0110165
12,GO:0099522,GO:0005829
13,GO:0099522,GO:0005829
14,GO:0005886,GO:0016020
15,GO:0120001,GO:0005886
16,GO:0001533,GO:0005886
17,GO:0097524,GO:0005886
18,GO:0042383,GO:0005886
19,GO:0120001,GO:0005886
20,GO:0001533,GO:0005886
21,GO:0097524,GO:0005886
22,GO:0042383,GO:0005886
23,GO:0090406,GO:0120025
24,GO:0098552,GO:0110165
25,GO:0009897,GO:0098552
26,GO:0098569,GO:0098552
27,GO:0098570,GO:0098552
28,GO:0031241,GO:0098552
29,GO:0098571,GO:0098552
30,GO:0098572,GO:0098552
31,GO:0031240,GO:0098552
32,GO:0098562,GO:0098552
33,GO:0098576,GO:0098552
34,GO:0009897,GO:0098552
35,GO:0098569,GO:0098552
36,GO:0098570,GO:0098552
37,GO:0031241,GO:0098552
38,GO:0098571,GO:0098552
39,GO:0098572,GO:0098552
40,GO:0031240,GO:0098552
41,GO:0098562,GO:0098552
42,GO:0098576,GO:0098552
43,GO:0004190,GO:0004175
44,GO:0004190,GO:0070001
45,GO:0042500,GO:0004190
46,GO:1902944,GO:0004190
47,GO:0042500,GO:0004190
48,GO:1902944,GO:0004190
49,GO:0009860,GO:0003006
50,GO:0009860,GO:0009932
51,GO:0009860,GO:0048588
52,GO:0010183,GO:0050918
53,GO:0010183,GO:0022414
54,GO:0030163,GO:0019538
55,GO:0030163,GO:1901565
56,GO:0030163,GO:0009057
57,GO:0046155,GO:0030163
58,GO:0010498,GO:0030163
59,GO:0140246,GO:0030163
60,GO:0007174,GO:0030163
61,GO:0036205,GO:0030163
62,GO:0042159,GO:0030163
63,GO:0030164,GO:0030163
64,GO:0032802,GO:0030163
65,GO:0006516,GO:0030163
66,GO:0007039,GO:0030163
67,GO:0010304,GO:0030163
68,GO:1901143,GO:0030163
69,GO:0042540,GO:0030163
70,GO:0035694,GO:0030163
71,GO:0061684,GO:0030163
72,GO:0046155,GO:0030163
73,GO:0010498,GO:0030163
74,GO:0140246,GO:0030163
75,GO:0007174,GO:0030163
76,GO:0036205,GO:0030163
77,GO:0042159,GO:0030163
78,GO:0030164,GO:0030163
79,GO:0032802,GO:0030163
80,GO:0006516,GO:0030163
81,GO:0007039,GO:0030163
82,GO:0010304,GO:0030163
83,GO:1901143,GO:0030163
84,GO:0042540,GO:0030163
85,GO:0035694,GO:0030163
86,GO:0061684,GO:0030163
87,GO:0006508,GO:0019538
88,GO:0016485,GO:0006508
89,GO:0033619,GO:0006508
90,GO:0051603,GO:0006508
91,GO:0097264,GO:0006508
92,GO:0016485,GO:0006508
93,GO:0033619,GO:0006508
94,GO:0051603,GO:0006508
95,GO:0097264,GO:0006508
