,go_id,parent_id
0,GO:0016020,GO:0110165
1,GO:0140221,GO:0016020
2,GO:0005905,GO:0016020
3,GO:0019867,GO:0016020
4,GO:0031090,GO:0016020
5,GO:0034045,GO:0016020
6,GO:0005642,GO:0016020
7,GO:0036362,GO:0016020
8,GO:0005628,GO:0016020
9,GO:0042175,GO:0016020
10,GO:0048475,GO:0016020
11,GO:0098857,GO:0016020
12,GO:0140549,GO:0016020
13,GO:0070056,GO:0016020
14,GO:0098590,GO:0016020
15,GO:0005886,GO:0016020
16,GO:0034357,GO:0016020
17,GO:0140221,GO:0016020
18,GO:0005905,GO:0016020
19,GO:0019867,GO:0016020
20,GO:0031090,GO:0016020
21,GO:0034045,GO:0016020
22,GO:0005642,GO:0016020
23,GO:0036362,GO:0016020
24,GO:0005628,GO:0016020
25,GO:0042175,GO:0016020
26,GO:0048475,GO:0016020
27,GO:0098857,GO:0016020
28,GO:0140549,GO:0016020
29,GO:0070056,GO:0016020
30,GO:0098590,GO:0016020
31,GO:0005886,GO:0016020
32,GO:0034357,GO:0016020
33,GO:0005886,GO:0016020
34,GO:0097524,GO:0005886
35,GO:0001533,GO:0005886
36,GO:0120001,GO:0005886
37,GO:0042383,GO:0005886
38,GO:0097524,GO:0005886
39,GO:0001533,GO:0005886
40,GO:0120001,GO:0005886
41,GO:0042383,GO:0005886
42,GO:0015293,GO:0015291
43,GO:0015294,GO:0015293
44,GO:0015294,GO:0015293
45,GO:0006865,GO:0071705
46,GO:0006865,GO:0046942
47,GO:0015822,GO:0006865
48,GO:0015800,GO:0006865
49,GO:0015812,GO:0006865
50,GO:0015801,GO:0006865
51,GO:0015802,GO:0006865
52,GO:0043090,GO:0006865
53,GO:0015803,GO:0006865
54,GO:0003333,GO:0006865
55,GO:0015804,GO:0006865
56,GO:0000101,GO:0006865
57,GO:0006860,GO:0006865
58,GO:0042940,GO:0006865
59,GO:0015830,GO:0006865
60,GO:0015807,GO:0006865
61,GO:0051933,GO:0006865
62,GO:0034589,GO:0006865
63,GO:0015822,GO:0006865
64,GO:0015800,GO:0006865
65,GO:0015812,GO:0006865
66,GO:0015801,GO:0006865
67,GO:0015802,GO:0006865
68,GO:0043090,GO:0006865
69,GO:0015803,GO:0006865
70,GO:0003333,GO:0006865
71,GO:0015804,GO:0006865
72,GO:0000101,GO:0006865
73,GO:0006860,GO:0006865
74,GO:0042940,GO:0006865
75,GO:0015830,GO:0006865
76,GO:0015807,GO:0006865
77,GO:0051933,GO:0006865
78,GO:0034589,GO:0006865
