,go_id,parent_id
0,GO:0012505,GO:0110165
1,GO:0005886,GO:0016020
2,GO:0120001,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0042383,GO:0005886
5,GO:0097524,GO:0005886
6,GO:0120001,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0042383,GO:0005886
9,GO:0097524,GO:0005886
10,GO:0008509,GO:0015075
11,GO:0005253,GO:0008509
12,GO:0140829,GO:0008509
13,GO:0015108,GO:0008509
14,GO:1903425,GO:0008509
15,GO:0015296,GO:0008509
16,GO:0015111,GO:0008509
17,GO:0140812,GO:0008509
18,GO:0008518,GO:0008509
19,GO:0140813,GO:0008509
20,GO:0005253,GO:0008509
21,GO:0140829,GO:0008509
22,GO:0015108,GO:0008509
23,GO:1903425,GO:0008509
24,GO:0015296,GO:0008509
25,GO:0015111,GO:0008509
26,GO:0140812,GO:0008509
27,GO:0008518,GO:0008509
28,GO:0140813,GO:0008509
29,GO:0015743,GO:0015740
30,GO:0071423,GO:0015743
31,GO:0046723,GO:0015743
32,GO:0071423,GO:0015743
33,GO:0046723,GO:0015743
34,GO:0010118,GO:0009987
35,GO:1990069,GO:0010118
36,GO:0090332,GO:0010118
37,GO:1990069,GO:0010118
38,GO:0090332,GO:0010118
39,GO:0008272,GO:0015698
40,GO:0008272,GO:0072348
41,GO:1902358,GO:0008272
42,GO:1902358,GO:0008272
