,go_id,parent_id
0,GO:0031012,GO:0030312
1,GO:0062130,GO:0031012
2,GO:1990377,GO:0031012
3,GO:0062039,GO:0031012
4,GO:0009519,GO:0031012
5,GO:0035805,GO:0031012
6,GO:0070505,GO:0031012
7,GO:0062023,GO:0031012
8,GO:0062129,GO:0031012
9,GO:0062130,GO:0031012
10,GO:1990377,GO:0031012
11,GO:0062039,GO:0031012
12,GO:0009519,GO:0031012
13,GO:0035805,GO:0031012
14,GO:0070505,GO:0031012
15,GO:0062023,GO:0031012
16,GO:0062129,GO:0031012
17,GO:0005886,GO:0016020
18,GO:0097524,GO:0005886
19,GO:0001533,GO:0005886
20,GO:0120001,GO:0005886
21,GO:0042383,GO:0005886
22,GO:0097524,GO:0005886
23,GO:0001533,GO:0005886
24,GO:0120001,GO:0005886
25,GO:0042383,GO:0005886
26,GO:0098552,GO:0110165
27,GO:0098569,GO:0098552
28,GO:0009897,GO:0098552
29,GO:0098570,GO:0098552
30,GO:0098576,GO:0098552
31,GO:0098571,GO:0098552
32,GO:0031241,GO:0098552
33,GO:0098572,GO:0098552
34,GO:0098562,GO:0098552
35,GO:0031240,GO:0098552
36,GO:0098569,GO:0098552
37,GO:0009897,GO:0098552
38,GO:0098570,GO:0098552
39,GO:0098576,GO:0098552
40,GO:0098571,GO:0098552
41,GO:0031241,GO:0098552
42,GO:0098572,GO:0098552
43,GO:0098562,GO:0098552
44,GO:0031240,GO:0098552
45,GO:0009860,GO:0009932
46,GO:0009860,GO:0048588
47,GO:0009860,GO:0003006
48,GO:0010208,GO:0010927
49,GO:0010208,GO:0045229
50,GO:0010584,GO:0010208
51,GO:0160030,GO:0010208
52,GO:0010584,GO:0010208
53,GO:0160030,GO:0010208
