,go_id,parent_id
0,GO:0005783,GO:0043231
1,GO:0005791,GO:0005783
2,GO:0005790,GO:0005783
3,GO:0009511,GO:0005783
4,GO:0016529,GO:0005783
5,GO:1990007,GO:0005783
6,GO:0005791,GO:0005783
7,GO:0005790,GO:0005783
8,GO:0009511,GO:0005783
9,GO:0016529,GO:0005783
10,GO:1990007,GO:0005783
11,GO:0005789,GO:0031090
12,GO:0098826,GO:0005789
13,GO:0030867,GO:0005789
14,GO:0030868,GO:0005789
15,GO:0033017,GO:0005789
16,GO:0098826,GO:0005789
17,GO:0030867,GO:0005789
18,GO:0030868,GO:0005789
19,GO:0033017,GO:0005789
20,GO:0005886,GO:0016020
21,GO:0120001,GO:0005886
22,GO:0097524,GO:0005886
23,GO:0042383,GO:0005886
24,GO:0001533,GO:0005886
25,GO:0120001,GO:0005886
26,GO:0097524,GO:0005886
27,GO:0042383,GO:0005886
28,GO:0001533,GO:0005886
29,GO:0009884,GO:0004888
30,GO:0001647,GO:0009884
31,GO:0009885,GO:0009884
32,GO:0001647,GO:0009884
33,GO:0009885,GO:0009884
34,GO:0019899,GO:0005515
35,GO:0035473,GO:0019899
36,GO:0010180,GO:0019899
37,GO:0002020,GO:0019899
38,GO:0008179,GO:0019899
39,GO:0050998,GO:0019899
40,GO:0044547,GO:0019899
41,GO:0035226,GO:0019899
42,GO:0044549,GO:0019899
43,GO:0070182,GO:0019899
44,GO:0035035,GO:0019899
45,GO:0035375,GO:0019899
46,GO:0031996,GO:0019899
47,GO:0017151,GO:0019899
48,GO:0042826,GO:0019899
49,GO:1990226,GO:0019899
50,GO:0070063,GO:0019899
51,GO:0051020,GO:0019899
52,GO:0051117,GO:0019899
53,GO:0032190,GO:0019899
54,GO:0032145,GO:0019899
55,GO:0019900,GO:0019899
56,GO:0019902,GO:0019899
57,GO:0098650,GO:0019899
58,GO:0044388,GO:0019899
59,GO:1990827,GO:0019899
60,GO:0044389,GO:0019899
61,GO:0044390,GO:0019899
62,GO:0043274,GO:0019899
63,GO:0035473,GO:0019899
64,GO:0010180,GO:0019899
65,GO:0002020,GO:0019899
66,GO:0008179,GO:0019899
67,GO:0050998,GO:0019899
68,GO:0044547,GO:0019899
69,GO:0035226,GO:0019899
70,GO:0044549,GO:0019899
71,GO:0070182,GO:0019899
72,GO:0035035,GO:0019899
73,GO:0035375,GO:0019899
74,GO:0031996,GO:0019899
75,GO:0017151,GO:0019899
76,GO:0042826,GO:0019899
77,GO:1990226,GO:0019899
78,GO:0070063,GO:0019899
79,GO:0051020,GO:0019899
80,GO:0051117,GO:0019899
81,GO:0032190,GO:0019899
82,GO:0032145,GO:0019899
83,GO:0019900,GO:0019899
84,GO:0019902,GO:0019899
85,GO:0098650,GO:0019899
86,GO:0044388,GO:0019899
87,GO:1990827,GO:0019899
88,GO:0044389,GO:0019899
89,GO:0044390,GO:0019899
90,GO:0043274,GO:0019899
91,GO:0017018,GO:0004722
92,GO:0004721,GO:0016791
93,GO:0004721,GO:0140096
94,GO:0047384,GO:0004721
95,GO:0050406,GO:0004721
96,GO:0008330,GO:0004721
97,GO:0047385,GO:0004721
98,GO:0050407,GO:0004721
99,GO:0004725,GO:0004721
100,GO:0050196,GO:0004721
101,GO:0050408,GO:0004721
102,GO:0098627,GO:0004721
103,GO:0004722,GO:0004721
104,GO:0101006,GO:0004721
105,GO:0101014,GO:0004721
106,GO:0140789,GO:0004721
107,GO:0050115,GO:0004721
108,GO:0033549,GO:0004721
109,GO:0008138,GO:0004721
110,GO:0019198,GO:0004721
111,GO:0047384,GO:0004721
112,GO:0050406,GO:0004721
113,GO:0008330,GO:0004721
114,GO:0047385,GO:0004721
115,GO:0050407,GO:0004721
116,GO:0004725,GO:0004721
117,GO:0050196,GO:0004721
118,GO:0050408,GO:0004721
119,GO:0098627,GO:0004721
120,GO:0004722,GO:0004721
121,GO:0101006,GO:0004721
122,GO:0101014,GO:0004721
123,GO:0140789,GO:0004721
124,GO:0050115,GO:0004721
125,GO:0033549,GO:0004721
126,GO:0008138,GO:0004721
127,GO:0019198,GO:0004721
128,GO:0000155,GO:0004673
129,GO:0000155,GO:0140299
130,GO:0004673,GO:0016775
131,GO:0004673,GO:0004672
