,go_id,parent_id
0,GO:0000325,GO:0005773
1,GO:0000326,GO:0000325
2,GO:0010282,GO:0000325
3,GO:0042807,GO:0000325
4,GO:0000326,GO:0000325
5,GO:0010282,GO:0000325
6,GO:0042807,GO:0000325
7,GO:0005886,GO:0016020
8,GO:0097524,GO:0005886
9,GO:0001533,GO:0005886
10,GO:0042383,GO:0005886
11,GO:0120001,GO:0005886
12,GO:0097524,GO:0005886
13,GO:0001533,GO:0005886
14,GO:0042383,GO:0005886
15,GO:0120001,GO:0005886
16,GO:0042631,GO:0071462
17,GO:0042631,GO:0031668
18,GO:0042631,GO:0033554
19,GO:0042631,GO:0009414
20,GO:0071465,GO:0042631
21,GO:0071465,GO:0042631
22,GO:0009631,GO:0009409
23,GO:0009737,GO:0097305
24,GO:0009737,GO:0033993
25,GO:0009737,GO:0009725
26,GO:0071215,GO:0009737
27,GO:0009724,GO:0009737
28,GO:0071215,GO:0009737
29,GO:0009724,GO:0009737
