,go_id,parent_id
0,GO:0009507,GO:0009536
1,GO:0009941,GO:0009526
2,GO:0005783,GO:0043231
3,GO:0009511,GO:0005783
4,GO:0016529,GO:0005783
5,GO:1990007,GO:0005783
6,GO:0005790,GO:0005783
7,GO:0005791,GO:0005783
8,GO:0009511,GO:0005783
9,GO:0016529,GO:0005783
10,GO:1990007,GO:0005783
11,GO:0005790,GO:0005783
12,GO:0005791,GO:0005783
13,GO:0005789,GO:0031090
14,GO:0098826,GO:0005789
15,GO:0030867,GO:0005789
16,GO:0030868,GO:0005789
17,GO:0033017,GO:0005789
18,GO:0098826,GO:0005789
19,GO:0030867,GO:0005789
20,GO:0030868,GO:0005789
21,GO:0033017,GO:0005789
22,GO:0005739,GO:0043231
23,GO:0000325,GO:0005773
24,GO:0010282,GO:0000325
25,GO:0042807,GO:0000325
26,GO:0000326,GO:0000325
27,GO:0010282,GO:0000325
28,GO:0042807,GO:0000325
29,GO:0000326,GO:0000325
30,GO:0005886,GO:0016020
31,GO:0001533,GO:0005886
32,GO:0042383,GO:0005886
33,GO:0097524,GO:0005886
34,GO:0120001,GO:0005886
35,GO:0001533,GO:0005886
36,GO:0042383,GO:0005886
37,GO:0097524,GO:0005886
38,GO:0120001,GO:0005886
39,GO:0005802,GO:0098791
40,GO:0140359,GO:0042626
41,GO:0015418,GO:0140359
42,GO:0031458,GO:0140359
43,GO:0015419,GO:0140359
44,GO:0015633,GO:0140359
45,GO:0034041,GO:0140359
46,GO:0015420,GO:0140359
47,GO:1901238,GO:0140359
48,GO:0015424,GO:0140359
49,GO:1901242,GO:0140359
50,GO:0015431,GO:0140359
51,GO:0140481,GO:0140359
52,GO:0015430,GO:0140359
53,GO:0015432,GO:0140359
54,GO:0015434,GO:0140359
55,GO:0015436,GO:0140359
56,GO:0015438,GO:0140359
57,GO:0033266,GO:0140359
58,GO:0015439,GO:0140359
59,GO:0015440,GO:0140359
60,GO:0043211,GO:0140359
61,GO:0015607,GO:0140359
62,GO:0140394,GO:0140359
63,GO:0008558,GO:0140359
64,GO:1905948,GO:0140359
65,GO:0008559,GO:0140359
66,GO:0015462,GO:0140359
67,GO:0015408,GO:0140359
68,GO:0015410,GO:0140359
69,GO:0160080,GO:0140359
70,GO:0015624,GO:0140359
71,GO:0015412,GO:0140359
72,GO:0015625,GO:0140359
73,GO:0102025,GO:0140359
74,GO:0015413,GO:0140359
75,GO:0015414,GO:0140359
76,GO:0140679,GO:0140359
77,GO:0015416,GO:0140359
78,GO:0015417,GO:0140359
79,GO:0015418,GO:0140359
80,GO:0031458,GO:0140359
81,GO:0015419,GO:0140359
82,GO:0015633,GO:0140359
83,GO:0034041,GO:0140359
84,GO:0015420,GO:0140359
85,GO:1901238,GO:0140359
86,GO:0015424,GO:0140359
87,GO:1901242,GO:0140359
88,GO:0015431,GO:0140359
89,GO:0140481,GO:0140359
90,GO:0015430,GO:0140359
91,GO:0015432,GO:0140359
92,GO:0015434,GO:0140359
93,GO:0015436,GO:0140359
94,GO:0015438,GO:0140359
95,GO:0033266,GO:0140359
96,GO:0015439,GO:0140359
97,GO:0015440,GO:0140359
98,GO:0043211,GO:0140359
99,GO:0015607,GO:0140359
100,GO:0140394,GO:0140359
101,GO:0008558,GO:0140359
102,GO:1905948,GO:0140359
103,GO:0008559,GO:0140359
104,GO:0015462,GO:0140359
105,GO:0015408,GO:0140359
106,GO:0015410,GO:0140359
107,GO:0160080,GO:0140359
108,GO:0015624,GO:0140359
109,GO:0015412,GO:0140359
110,GO:0015625,GO:0140359
111,GO:0102025,GO:0140359
112,GO:0015413,GO:0140359
113,GO:0015414,GO:0140359
114,GO:0140679,GO:0140359
115,GO:0015416,GO:0140359
116,GO:0015417,GO:0140359
117,GO:0005524,GO:0035639
118,GO:0005524,GO:0032559
119,GO:0016887,GO:0017111
120,GO:0010329,GO:0080161
121,GO:0015086,GO:0046915
122,GO:0015434,GO:0015086
123,GO:0008551,GO:0015086
124,GO:0015434,GO:0015086
125,GO:0008551,GO:0015086
126,GO:0015562,GO:0022857
127,GO:0034639,GO:0015562
128,GO:0046583,GO:0015562
129,GO:0032523,GO:0015562
130,GO:0015514,GO:0015562
131,GO:0010542,GO:0015562
132,GO:0015660,GO:0015562
