,go_id,parent_id
0,GO:0016324,GO:0098590
1,GO:0005737,GO:0110165
2,GO:0045495,GO:0005737
3,GO:0099568,GO:0005737
4,GO:0005938,GO:0005737
5,GO:1990917,GO:0005737
6,GO:0016528,GO:0005737
7,GO:0045495,GO:0005737
8,GO:0099568,GO:0005737
9,GO:0005938,GO:0005737
10,GO:1990917,GO:0005737
11,GO:0016528,GO:0005737
12,GO:0005886,GO:0016020
13,GO:0120001,GO:0005886
14,GO:0042383,GO:0005886
15,GO:0097524,GO:0005886
16,GO:0001533,GO:0005886
17,GO:0120001,GO:0005886
18,GO:0042383,GO:0005886
19,GO:0097524,GO:0005886
20,GO:0001533,GO:0005886
21,GO:0090406,GO:0120025
22,GO:0098552,GO:0110165
23,GO:0098562,GO:0098552
24,GO:0031240,GO:0098552
25,GO:0098576,GO:0098552
26,GO:0098571,GO:0098552
27,GO:0098569,GO:0098552
28,GO:0098570,GO:0098552
29,GO:0031241,GO:0098552
30,GO:0009897,GO:0098552
31,GO:0098572,GO:0098552
32,GO:0098562,GO:0098552
33,GO:0031240,GO:0098552
34,GO:0098576,GO:0098552
35,GO:0098571,GO:0098552
36,GO:0098569,GO:0098552
37,GO:0098570,GO:0098552
38,GO:0031241,GO:0098552
39,GO:0009897,GO:0098552
40,GO:0098572,GO:0098552
41,GO:0031982,GO:0043227
42,GO:1903561,GO:0031982
43,GO:0097708,GO:0031982
44,GO:1903561,GO:0031982
45,GO:0097708,GO:0031982
46,GO:0071555,GO:0045229
47,GO:0071555,GO:0071554
48,GO:0070726,GO:0071555
49,GO:0009664,GO:0071555
50,GO:0042545,GO:0071555
51,GO:0031504,GO:0071555
52,GO:0071433,GO:0071555
53,GO:0031505,GO:0071555
54,GO:0070871,GO:0071555
55,GO:0044277,GO:0071555
56,GO:0070726,GO:0071555
57,GO:0009664,GO:0071555
58,GO:0042545,GO:0071555
59,GO:0031504,GO:0071555
60,GO:0071433,GO:0071555
61,GO:0031505,GO:0071555
62,GO:0070871,GO:0071555
63,GO:0044277,GO:0071555
64,GO:0010215,GO:0030198
65,GO:0009860,GO:0003006
66,GO:0009860,GO:0048588
67,GO:0009860,GO:0009932
68,GO:0010183,GO:0022414
69,GO:0010183,GO:0050918
