,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0097524,GO:0005886
2,GO:0042383,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0120001,GO:0005886
5,GO:0097524,GO:0005886
6,GO:0042383,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0120001,GO:0005886
9,GO:0009506,GO:0005911
10,GO:0009550,GO:0009506
11,GO:0009551,GO:0009506
12,GO:0009550,GO:0009506
13,GO:0009551,GO:0009506
14,GO:0009536,GO:0043231
15,GO:0009509,GO:0009536
16,GO:0009501,GO:0009536
17,GO:0009513,GO:0009536
18,GO:0009842,GO:0009536
19,GO:0009537,GO:0009536
20,GO:0034400,GO:0009536
21,GO:0062116,GO:0009536
22,GO:0009516,GO:0009536
23,GO:0020011,GO:0009536
24,GO:0009507,GO:0009536
25,GO:0009509,GO:0009536
26,GO:0009501,GO:0009536
27,GO:0009513,GO:0009536
28,GO:0009842,GO:0009536
29,GO:0009537,GO:0009536
30,GO:0034400,GO:0009536
31,GO:0062116,GO:0009536
32,GO:0009516,GO:0009536
33,GO:0020011,GO:0009536
34,GO:0009507,GO:0009536
35,GO:0005524,GO:0035639
36,GO:0005524,GO:0032559
37,GO:0016887,GO:0017111
38,GO:0005516,GO:0005515
39,GO:0046872,GO:0043169
40,GO:0005509,GO:0046872
41,GO:0032791,GO:0046872
42,GO:0000287,GO:0046872
43,GO:0046911,GO:0046872
44,GO:0046914,GO:0046872
45,GO:0031420,GO:0046872
46,GO:0005509,GO:0046872
47,GO:0032791,GO:0046872
48,GO:0000287,GO:0046872
49,GO:0046911,GO:0046872
50,GO:0046914,GO:0046872
51,GO:0031420,GO:0046872
52,GO:0005388,GO:0019829
53,GO:0005388,GO:0015085
54,GO:0005388,GO:0015662
55,GO:1905059,GO:0005388
56,GO:1905056,GO:0005388
57,GO:0086039,GO:0005388
58,GO:1905059,GO:0005388
59,GO:1905056,GO:0005388
60,GO:0086039,GO:0005388
61,GO:0043621,GO:0005515
62,GO:0032840,GO:0043621
63,GO:0032840,GO:0043621
64,GO:0009624,GO:0051707
