,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0120001,GO:0005886
2,GO:0042383,GO:0005886
3,GO:0097524,GO:0005886
4,GO:0001533,GO:0005886
5,GO:0120001,GO:0005886
6,GO:0042383,GO:0005886
7,GO:0097524,GO:0005886
8,GO:0001533,GO:0005886
9,GO:0005262,GO:0005261
10,GO:0005262,GO:0015085
11,GO:0015275,GO:0005262
12,GO:0099604,GO:0005262
13,GO:0015279,GO:0005262
14,GO:0005245,GO:0005262
15,GO:0015275,GO:0005262
16,GO:0099604,GO:0005262
17,GO:0015279,GO:0005262
18,GO:0005245,GO:0005262
19,GO:0005516,GO:0005515
20,GO:0030552,GO:0032559
21,GO:0030552,GO:0030551
22,GO:0030552,GO:0043168
23,GO:0030553,GO:0030551
24,GO:0030553,GO:0043168
25,GO:0030553,GO:0032561
26,GO:0005222,GO:0005221
27,GO:0140232,GO:0005222
28,GO:0140233,GO:0005222
29,GO:0140232,GO:0005222
30,GO:0140233,GO:0005222
31,GO:0005221,GO:0005217
32,GO:0005221,GO:0099094
33,GO:0005221,GO:0043855
34,GO:0005222,GO:0005221
35,GO:0005223,GO:0005221
36,GO:0005222,GO:0005221
37,GO:0005223,GO:0005221
38,GO:0005242,GO:0005249
39,GO:0005242,GO:0099094
40,GO:0015467,GO:0005242
41,GO:0015272,GO:0005242
42,GO:0015467,GO:0005242
43,GO:0015272,GO:0005242
44,GO:0070509,GO:0006816
45,GO:0098703,GO:0070509
46,GO:0098703,GO:0070509
47,GO:0006952,GO:0006950
48,GO:0002357,GO:0006952
49,GO:0006968,GO:0006952
50,GO:0098542,GO:0006952
51,GO:0002209,GO:0006952
52,GO:0052482,GO:0006952
53,GO:0052542,GO:0006952
54,GO:0006954,GO:0006952
55,GO:0002357,GO:0006952
56,GO:0006968,GO:0006952
57,GO:0098542,GO:0006952
58,GO:0002209,GO:0006952
59,GO:0052482,GO:0006952
60,GO:0052542,GO:0006952
61,GO:0006954,GO:0006952
62,GO:0007263,GO:0141124
63,GO:0038060,GO:0007263
64,GO:0038060,GO:0007263
65,GO:0009626,GO:0033554
66,GO:0009626,GO:0034050
67,GO:0009626,GO:0045087
