,go_id,parent_id
0,GO:0016020,GO:0110165
1,GO:0098857,GO:0016020
2,GO:0019867,GO:0016020
3,GO:0005905,GO:0016020
4,GO:0031090,GO:0016020
5,GO:0036362,GO:0016020
6,GO:0048475,GO:0016020
7,GO:0005642,GO:0016020
8,GO:0098590,GO:0016020
9,GO:0005628,GO:0016020
10,GO:0070056,GO:0016020
11,GO:0005886,GO:0016020
12,GO:0034045,GO:0016020
13,GO:0034357,GO:0016020
14,GO:0140221,GO:0016020
15,GO:0042175,GO:0016020
16,GO:0140549,GO:0016020
17,GO:0098857,GO:0016020
18,GO:0019867,GO:0016020
19,GO:0005905,GO:0016020
20,GO:0031090,GO:0016020
21,GO:0036362,GO:0016020
22,GO:0048475,GO:0016020
23,GO:0005642,GO:0016020
24,GO:0098590,GO:0016020
25,GO:0005628,GO:0016020
26,GO:0070056,GO:0016020
27,GO:0005886,GO:0016020
28,GO:0034045,GO:0016020
29,GO:0034357,GO:0016020
30,GO:0140221,GO:0016020
31,GO:0042175,GO:0016020
32,GO:0140549,GO:0016020
33,GO:0005886,GO:0016020
34,GO:0042383,GO:0005886
35,GO:0120001,GO:0005886
36,GO:0001533,GO:0005886
37,GO:0097524,GO:0005886
38,GO:0042383,GO:0005886
39,GO:0120001,GO:0005886
40,GO:0001533,GO:0005886
41,GO:0097524,GO:0005886
42,GO:0005516,GO:0005515
43,GO:0030552,GO:0030551
44,GO:0030552,GO:0043168
45,GO:0030552,GO:0032559
46,GO:0030553,GO:0030551
47,GO:0030553,GO:0032561
48,GO:0030553,GO:0043168
49,GO:0008324,GO:0015075
50,GO:0032523,GO:0008324
51,GO:0046583,GO:0008324
52,GO:0046873,GO:0008324
53,GO:0140848,GO:0008324
54,GO:0015078,GO:0008324
55,GO:0015294,GO:0008324
56,GO:0005261,GO:0008324
57,GO:0019829,GO:0008324
58,GO:0032523,GO:0008324
59,GO:0046583,GO:0008324
60,GO:0046873,GO:0008324
61,GO:0140848,GO:0008324
62,GO:0015078,GO:0008324
63,GO:0015294,GO:0008324
64,GO:0005261,GO:0008324
65,GO:0019829,GO:0008324
66,GO:0005216,GO:0015267
67,GO:0005216,GO:0015075
68,GO:0008381,GO:0005216
69,GO:0010461,GO:0005216
70,GO:0005253,GO:0005216
71,GO:0005244,GO:0005216
72,GO:0097603,GO:0005216
73,GO:0015276,GO:0005216
74,GO:0005261,GO:0005216
75,GO:0008381,GO:0005216
76,GO:0010461,GO:0005216
77,GO:0005253,GO:0005216
78,GO:0005244,GO:0005216
79,GO:0097603,GO:0005216
80,GO:0015276,GO:0005216
81,GO:0005261,GO:0005216
82,GO:0009626,GO:0045087
83,GO:0009626,GO:0034050
84,GO:0009626,GO:0033554
