,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0120001,GO:0005886
2,GO:0042383,GO:0005886
3,GO:0097524,GO:0005886
4,GO:0001533,GO:0005886
5,GO:0120001,GO:0005886
6,GO:0042383,GO:0005886
7,GO:0097524,GO:0005886
8,GO:0001533,GO:0005886
9,GO:0015297,GO:0015291
10,GO:0140848,GO:0015297
11,GO:0008518,GO:0015297
12,GO:0010292,GO:0015297
13,GO:0015516,GO:0015297
14,GO:0015312,GO:0015297
15,GO:0015496,GO:0015297
16,GO:0044667,GO:0015297
17,GO:0005476,GO:0015297
18,GO:0062057,GO:0015297
19,GO:0005452,GO:0015297
20,GO:0140988,GO:0015297
21,GO:0042962,GO:0015297
22,GO:0106439,GO:0015297
23,GO:0015310,GO:0015297
24,GO:0140828,GO:0015297
25,GO:0005469,GO:0015297
26,GO:0015311,GO:0015297
27,GO:0099520,GO:0015297
28,GO:0140813,GO:0015297
29,GO:0180003,GO:0015297
30,GO:0005471,GO:0015297
31,GO:0015515,GO:0015297
32,GO:0015327,GO:0015297
33,GO:0015367,GO:0015297
34,GO:0043858,GO:0015297
35,GO:0180009,GO:0015297
36,GO:0043861,GO:0015297
37,GO:0140968,GO:0015297
38,GO:0043862,GO:0015297
39,GO:0005278,GO:0015297
40,GO:0015520,GO:0015297
41,GO:0070906,GO:0015297
42,GO:0140987,GO:0015297
43,GO:0099580,GO:0015297
44,GO:0043872,GO:0015297
45,GO:0070907,GO:0015297
46,GO:0070908,GO:0015297
47,GO:0070909,GO:0015297
48,GO:0045119,GO:0015297
49,GO:0015325,GO:0015297
50,GO:0140829,GO:0015297
51,GO:0140812,GO:0015297
52,GO:0015309,GO:0015297
53,GO:0140848,GO:0015297
54,GO:0008518,GO:0015297
55,GO:0010292,GO:0015297
56,GO:0015516,GO:0015297
57,GO:0015312,GO:0015297
58,GO:0015496,GO:0015297
59,GO:0044667,GO:0015297
60,GO:0005476,GO:0015297
61,GO:0062057,GO:0015297
62,GO:0005452,GO:0015297
63,GO:0140988,GO:0015297
64,GO:0042962,GO:0015297
65,GO:0106439,GO:0015297
66,GO:0015310,GO:0015297
67,GO:0140828,GO:0015297
68,GO:0005469,GO:0015297
69,GO:0015311,GO:0015297
70,GO:0099520,GO:0015297
71,GO:0140813,GO:0015297
72,GO:0180003,GO:0015297
73,GO:0005471,GO:0015297
74,GO:0015515,GO:0015297
75,GO:0015327,GO:0015297
76,GO:0015367,GO:0015297
77,GO:0043858,GO:0015297
78,GO:0180009,GO:0015297
79,GO:0043861,GO:0015297
80,GO:0140968,GO:0015297
81,GO:0043862,GO:0015297
82,GO:0005278,GO:0015297
83,GO:0015520,GO:0015297
84,GO:0070906,GO:0015297
85,GO:0140987,GO:0015297
86,GO:0099580,GO:0015297
87,GO:0043872,GO:0015297
88,GO:0070907,GO:0015297
89,GO:0070908,GO:0015297
90,GO:0070909,GO:0015297
91,GO:0045119,GO:0015297
92,GO:0015325,GO:0015297
93,GO:0140829,GO:0015297
94,GO:0140812,GO:0015297
95,GO:0015309,GO:0015297
96,GO:0015079,GO:0046873
97,GO:0005267,GO:0015079
98,GO:0140107,GO:0015079
99,GO:0022821,GO:0015079
100,GO:0008556,GO:0015079
101,GO:0017032,GO:0015079
102,GO:0015387,GO:0015079
103,GO:0022819,GO:0015079
104,GO:0015379,GO:0015079
105,GO:0009674,GO:0015079
106,GO:0015503,GO:0015079
107,GO:0005267,GO:0015079
108,GO:0140107,GO:0015079
109,GO:0022821,GO:0015079
110,GO:0008556,GO:0015079
111,GO:0017032,GO:0015079
112,GO:0015387,GO:0015079
113,GO:0022819,GO:0015079
114,GO:0015379,GO:0015079
115,GO:0009674,GO:0015079
116,GO:0015503,GO:0015079
117,GO:0015293,GO:0015291
118,GO:0015294,GO:0015293
119,GO:0015294,GO:0015293
120,GO:1902600,GO:0098662
121,GO:1902600,GO:0098655
122,GO:0015988,GO:1902600
123,GO:0015985,GO:1902600
124,GO:0120029,GO:1902600
125,GO:0097401,GO:1902600
126,GO:0015988,GO:1902600
127,GO:0015985,GO:1902600
128,GO:0120029,GO:1902600
129,GO:0097401,GO:1902600
