,go_id,parent_id
0,GO:0005955,GO:0140535
1,GO:0005955,GO:0008287
2,GO:0005737,GO:0110165
3,GO:0016528,GO:0005737
4,GO:0099568,GO:0005737
5,GO:0045495,GO:0005737
6,GO:1990917,GO:0005737
7,GO:0005938,GO:0005737
8,GO:0016528,GO:0005737
9,GO:0099568,GO:0005737
10,GO:0045495,GO:0005737
11,GO:1990917,GO:0005737
12,GO:0005938,GO:0005737
13,GO:0005634,GO:0043231
14,GO:0031040,GO:0005634
15,GO:1905754,GO:0005634
16,GO:0045120,GO:0005634
17,GO:0043076,GO:0005634
18,GO:0043073,GO:0005634
19,GO:0097571,GO:0005634
20,GO:0031039,GO:0005634
21,GO:0048353,GO:0005634
22,GO:0097572,GO:0005634
23,GO:0048555,GO:0005634
24,GO:0048556,GO:0005634
25,GO:0031040,GO:0005634
26,GO:1905754,GO:0005634
27,GO:0045120,GO:0005634
28,GO:0043076,GO:0005634
29,GO:0043073,GO:0005634
30,GO:0097571,GO:0005634
31,GO:0031039,GO:0005634
32,GO:0048353,GO:0005634
33,GO:0097572,GO:0005634
34,GO:0048555,GO:0005634
35,GO:0048556,GO:0005634
36,GO:0005886,GO:0016020
37,GO:0042383,GO:0005886
38,GO:0120001,GO:0005886
39,GO:0097524,GO:0005886
40,GO:0001533,GO:0005886
41,GO:0042383,GO:0005886
42,GO:0120001,GO:0005886
43,GO:0097524,GO:0005886
44,GO:0001533,GO:0005886
45,GO:0005509,GO:0046872
46,GO:0099510,GO:0005509
47,GO:0099510,GO:0005509
48,GO:0004723,GO:0004722
49,GO:0033192,GO:0004723
50,GO:0033192,GO:0004723
51,GO:0019900,GO:0019899
52,GO:0036313,GO:0019900
53,GO:0019901,GO:0019900
54,GO:0036313,GO:0019900
55,GO:0019901,GO:0019900
56,GO:0019722,GO:0141124
57,GO:0035585,GO:0019722
58,GO:0097720,GO:0019722
59,GO:0010882,GO:0019722
60,GO:0035584,GO:0019722
61,GO:0021945,GO:0019722
62,GO:0061762,GO:0019722
63,GO:0014722,GO:0019722
64,GO:0035585,GO:0019722
65,GO:0097720,GO:0019722
66,GO:0010882,GO:0019722
67,GO:0035584,GO:0019722
68,GO:0021945,GO:0019722
69,GO:0061762,GO:0019722
70,GO:0014722,GO:0019722
71,GO:0005513,GO:0009593
72,GO:0005513,GO:0051592
73,GO:0042539,GO:0006971
74,GO:0042539,GO:0009651
75,GO:0071477,GO:0042539
76,GO:0071477,GO:0042539
77,GO:0030007,GO:0055075
78,GO:0030007,GO:0030003
