,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0120001,GO:0005886
2,GO:0097524,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0042383,GO:0005886
5,GO:0120001,GO:0005886
6,GO:0097524,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0042383,GO:0005886
9,GO:0009506,GO:0005911
10,GO:0009550,GO:0009506
11,GO:0009551,GO:0009506
12,GO:0009550,GO:0009506
13,GO:0009551,GO:0009506
14,GO:0000155,GO:0004673
15,GO:0000155,GO:0140299
16,GO:0004673,GO:0016775
17,GO:0004673,GO:0004672
18,GO:0000155,GO:0004673
19,GO:0008256,GO:0004673
20,GO:0009784,GO:0004673
21,GO:0008257,GO:0004673
22,GO:0000155,GO:0004673
23,GO:0008256,GO:0004673
24,GO:0009784,GO:0004673
25,GO:0008257,GO:0004673
26,GO:0042803,GO:0046983
27,GO:0042803,GO:0042802
28,GO:0009736,GO:0009755
29,GO:0009553,GO:0048229
30,GO:0010087,GO:0009888
31,GO:0010088,GO:0010087
32,GO:0010089,GO:0010087
33,GO:0010088,GO:0010087
34,GO:0010089,GO:0010087
35,GO:0080117,GO:0080190
