,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0042383,GO:0005886
2,GO:0097524,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0120001,GO:0005886
5,GO:0042383,GO:0005886
6,GO:0097524,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0120001,GO:0005886
9,GO:0005375,GO:0046915
10,GO:0043682,GO:0005375
11,GO:0015089,GO:0005375
12,GO:0140581,GO:0005375
13,GO:0051981,GO:0005375
14,GO:0043682,GO:0005375
15,GO:0015089,GO:0005375
16,GO:0140581,GO:0005375
17,GO:0051981,GO:0005375
18,GO:0043621,GO:0005515
19,GO:0032840,GO:0043621
20,GO:0032840,GO:0043621
21,GO:0051119,GO:0015144
22,GO:0015145,GO:0051119
23,GO:0015145,GO:0051119
24,GO:0006825,GO:0000041
25,GO:0015677,GO:0006825
26,GO:0035434,GO:0006825
27,GO:0097717,GO:0006825
28,GO:0097716,GO:0006825
29,GO:0015677,GO:0006825
30,GO:0035434,GO:0006825
31,GO:0097717,GO:0006825
32,GO:0097716,GO:0006825
33,GO:0006952,GO:0006950
34,GO:0052542,GO:0006952
35,GO:0052482,GO:0006952
36,GO:0098542,GO:0006952
37,GO:0006954,GO:0006952
38,GO:0002209,GO:0006952
39,GO:0006968,GO:0006952
40,GO:0002357,GO:0006952
41,GO:0052542,GO:0006952
42,GO:0052482,GO:0006952
43,GO:0098542,GO:0006952
44,GO:0006954,GO:0006952
45,GO:0002209,GO:0006952
46,GO:0006968,GO:0006952
47,GO:0002357,GO:0006952
