,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0097524,GO:0005886
2,GO:0120001,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0042383,GO:0005886
5,GO:0097524,GO:0005886
6,GO:0120001,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0042383,GO:0005886
9,GO:0008061,GO:0097367
10,GO:0043621,GO:0005515
11,GO:0032840,GO:0043621
12,GO:0032840,GO:0043621
13,GO:0006952,GO:0006950
14,GO:0002357,GO:0006952
15,GO:0098542,GO:0006952
16,GO:0052482,GO:0006952
17,GO:0002209,GO:0006952
18,GO:0052542,GO:0006952
19,GO:0006954,GO:0006952
20,GO:0006968,GO:0006952
21,GO:0002357,GO:0006952
22,GO:0098542,GO:0006952
23,GO:0052482,GO:0006952
24,GO:0002209,GO:0006952
25,GO:0052542,GO:0006952
26,GO:0006954,GO:0006952
27,GO:0006968,GO:0006952
